Category;Name;Description;Company;Payment;Link;arxiv;
Large Language Models (LLMs);Bloom;A multilingual LLM, many languages;BigScience;Open-source;https://huggingface.co/bigscience/bloom;
These are general-purpose language models that can be fine-tuned for document understanding tasks;Falcon;LLM for summarization, question answering, and more;Technology Innovation Institute;Open-source;https://huggingface.co/tiiuae/falcon-mamba-7b;
;Flan-T5;Instruction-tuned model based on T5, capable of zero-shot and fine-tuned document classification;Google;Open-source;https://huggingface.co/google/flan-t5-base;
;GPT-Neo and GPT-J;Open-source versions inspired by GPT-3, useful for NLP tasks;EleutherAI;Open-source;https://sapling.ai/llm/gpt-j-vs-gptneo;
;Kosmos-1;A rudimentary reimplementation of the KOSMOS-1 model described in Microsofts paper;;Open-source;https://github.com/bjoernpl/KOSMOS_reimplementation;
;LLaMA;Good for custom NLP tasks;Meta;Open-source;https://github.com/meta-llama/llama3;
;Mistral;Suitable for document processing applications;Mistral AI;Open-source;https://docs.mistral.ai/;
;Claude;Optimized for safe and interpretable responses;Anthropic;;https://docs.anthropic.com/en/home;
;Gemini;Audio, images, videos, and text;Google DeepMind;;https://ai.google.dev/gemini-api/docs;
;GPT-4;Generative Pre-trained Transformer;OpenAI;;https://platform.openai.com/docs/introduction;
;Grok;A variety of tasks, including generating and understanding text, code, and function calling;xAI;;https://x.ai/api;
Vision-Language Models (VLLMs);Donut;Designed for structured document understanding, works well with documents like invoices, receipts, and contracts;NAVER;Open-source;https://huggingface.co/naver-clova-ix/donut-base-finetuned-docvqa;
These models can understand and process both visual and textual data, useful for tasks like document layout understanding.;Molmo;A family of open vision-language models;;Open-source;https://huggingface.co/allenai/Molmo-7B-D-0924;
;NVLM;Open Frontier-Class Multimodal LLMs;;Open-source;https://nvlm-project.github.io/;
;Pix2Struct;Vision-language model, focused on document structure extraction, good for forms and charts;;Open-source;https://github.com/google-research/pix2struct;
;Qwen2-VL;SoTA understanding of images of various resolution & ratio;Allen Institute for AI;Open-source;https://github.com/QwenLM/Qwen2-VL;
;XLM-Roberta;Multilingual VLLM with fine-tuning potential for diverse text and document layouts;;Open-source;https://huggingface.co/laion/CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k;
;LayoutLMv3;Specialized in document layout understanding, with capabilities to recognize and classify text based on visual layout;Microsoft;;https://huggingface.co/docs/transformers/model_doc/layoutlmv3;
;LLaVA;Модель, которая объединяет языковые и визуальные способности для выполнения задач, связанных с пониманием изображений и текстов одновременно;Microsoft;;https://llava-vl.github.io/;
Multimodal Neural Networks;ALIGN;Can be used for image-text similarity and for zero-shot image classification;;Open-source;https://huggingface.co/docs/transformers/model_doc/align;
These models combine multiple modalities (text, vision, audio) for richer understanding and recognition.;BEiT-3;Image as a Foreign Language: BEiT Pretraining for Vision and Vision-Language Tasks;;Open-source;https://github.com/microsoft/unilm/tree/master/beit3;
